ID,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
0,-73.7835006713867,40.6436996459961,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
1,-73.9699401855469,40.7627563476563,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35
2,-73.9876022338867,40.7500686645508,1,7.5,0.0,0.5,0.0,0.0,0.3,8.3
3,-73.9875564575195,40.719898223877,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16
4,-73.9547653198242,40.7332954406738,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3
5,-73.9860687255859,40.7319755554199,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55
6,-74.0058288574219,40.7271232604981,1,5.5,0.5,0.5,1.7,0.0,0.3,8.5
7,-73.9885787963867,40.7196617126465,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16
8,-73.9606246948242,40.6711692810059,2,21.5,0.5,0.5,0.0,0.0,0.3,22.8
9,-73.9804840087891,40.7740173339844,1,3.5,0.5,0.5,0.96,0.0,0.3,5.76
10,-73.9564361572266,40.7713432312012,1,4.0,0.5,0.5,0.0,0.0,0.3,5.3
11,-73.9793701171875,40.724308013916,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
12,-73.9985427856445,40.742244720459,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55
13,-73.984245300293,40.6603507995605,2,25.0,0.5,0.5,0.0,0.0,0.3,26.3
14,-73.9079742431641,40.8107223510742,1,31.0,0.5,0.5,4.0,0.0,0.3,36.3
15,-73.9765090942383,40.779914855957,1,13.0,0.5,0.5,1.0,0.0,0.3,15.3
16,-73.9577789306641,40.8021354675293,1,18.5,0.5,0.5,3.95,0.0,0.3,23.75
17,-73.9839324951172,40.765510559082,1,6.0,0.5,0.5,2.19,0.0,0.3,9.49
18,-73.9793701171875,40.7661895751953,1,15.0,0.5,0.5,2.0,0.0,0.3,18.3
19,-73.9841537475586,40.7638549804688,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16
20,-73.9681701660156,40.7990684509277,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
21,-73.9386978149414,40.6935882568359,1,19.0,0.5,0.5,5.08,0.0,0.3,25.38
22,-73.9274444580078,40.668815612793,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3
